anio,sum(afluencia),,linea,afluencia_total,,mes_numero,promedio_afluencia_total_diaria,,estacion,afluencia_total
2010,1530248597,,Linea 1,3090889278,,1,3843651.91,,Pantitlán,1353560409
2011,1594903897,,Linea 2,3779406787,,2,4122280.347,,Indios Verdes,568150097
2012,1608865175,,Linea 3,3148400150,,3,4012611.277,,Cuatro Caminos,539924090
2013,1684936618,,Linea 4,412422284,,4,4002967.869,,Constitución de 1917,464611819
2014,1614333594,,Linea 5,1094294685,,5,4148121.697,,Tacubaya,459622241
2015,1623828642,,Linea 6,677361083,,6,4095727.374,,Tasqueña,405889597
2016,1662562714,,Linea 7,1362055912,,7,3933350.35,,Universidad,341782862
2017,1615652411,,Linea 8,1932768160,,8,4257770.236,,Zócalo/Tenochtitlan,314019228
2018,1647475013,,Linea 9,1545513409,,9,4082094.887,,Observatorio,312863116
2019,1594651279,,Linea A,1282645907,,10,4355954.628,,Ciudad Azteca,289564171
2020,894224342,,Linea B,2179084432,,11,4295214.854,,Pino Suárez,285922859
2021,794299549,,Linea 12,974097615,,12,4032011.094,,Buenavista,284505058
2022,1030108295,,,,,,,,El Rosario,262751087
2023,1115299291,,,,,,,,Martín Carrera,257362783
2024,1171859109,,,,,,,,Hidalgo,251892999
2025,295691176,,,,,,,,Bellas Artes,248158400
,,,,,,,,,Insurgentes,242833265
,,,,,,,,,Chapultepec,241095489
,,,,,,,,,Zaragoza,229282892
,,,,,,,,,Merced,224887539
,,,,,,,,,Tacuba,223452800
,,,,,,,,,La Raza,219605039
,,,,,,,,,San Lázaro,217006113
,,,,,,,,,Chabacano,215053228
,,,,,,,,,Chilpancingo,212385698
,,,,,,,,,Deportivo 18 de Marzo,198689962
,,,,,,,,,Zapata,191411047
,,,,,,,,,Copilco,191196720
,,,,,,,,,Barranca del Muerto,191191753
,,,,,,,,,Salto del Agua,188919925
,,,,,,,,,La Paz,188245693
,,,,,,,,,Normal,179786082
,,,,,,,,,Centro Médico,173840403
,,,,,,,,,Gómez Farías,167193143
,,,,,,,,,Politécnico,166897118
,,,,,,,,,Múzquiz,165533293
,,,,,,,,,Puebla,164276818
,,,,,,,,,Mixcoac,163714171
,,,,,,,,,Miguel Ángel de Quevedo,162450279
,,,,,,,,,Balderas,159841173
,,,,,,,,,Polanco,158114167
,,,,,,,,,Auditorio,156085668
,,,,,,,,,Allende,155598684
,,,,,,,,,Candelaria,155082339
,,,,,,,,,Atlalilco,149814584
,,,,,,,,,Garibaldi/Lagunilla,149236677
,,,,,,,,,Santa Marta,147833375
,,,,,,,,,Etiopía/Plaza de la Transparencia,145020569
,,,,,,,,,Revolución,144354541
,,,,,,,,,San Juan de Letrán,144003894
,,,,,,,,,Ecatepec,139647226
,,,,,,,,,General Anaya,137250320
,,,,,,,,,Sevilla,136856825
,,,,,,,,,UAM-I,132547153
,,,,,,,,,Impulsora,131092871
,,,,,,,,,Boulevard Puerto Aéreo,129526770
,,,,,,,,,Coyoacán,126560309
,,,,,,,,,Lagunilla,125449139
,,,,,,,,,Ermita,124438515
,,,,,,,,,San Cosme,123926411
,,,,,,,,,Tláhuac,123329978
,,,,,,,,,Moctezuma,119022328
,,,,,,,,,Escuadrón 201,118837949
,,,,,,,,,Nezahualcóyotl,118711208
,,,,,,,,,Tepito,117859291
,,,,,,,,,Autobuses del Norte,117027716
,,,,,,,,,Coyuya,116762328
,,,,,,,,,San Joaquín,115898583
,,,,,,,,,Viveros/Derechos Humanos,114769642
,,,,,,,,,San Antonio Abad,113367461
,,,,,,,,,Hospital General,110514314
,,,,,,,,,Portales,109452988
,,,,,,,,,Xola,108921817
,,,,,,,,,Ferrería/Arena Ciudad de México,108624626
,,,,,,,,,Tlatelolco,107122570
,,,,,,,,,Río de los Remedios,106032053
,,,,,,,,,Viaducto,105493451
,,,,,,,,,Plaza Aragón,105322831
,,,,,,,,,Nativitas,105083737
,,,,,,,,,Mixiuhca,104906983
,,,,,,,,,Iztacalco,104795755
,,,,,,,,,Insurgentes Sur,102138456
,,,,,,,,,Isabel la Católica,101492956
,,,,,,,,,Guelatao,99747601
,,,,,,,,,Los Reyes,99070486
,,,,,,,,,Oceanía,98849498
,,,,,,,,,Cuitláhuac,98510205
,,,,,,,,,Jamaica,98313255
,,,,,,,,,Niños Héroes,98298737
,,,,,,,,,Tepalcates,97788598
,,,,,,,,,Cuauhtémoc,96526176
,,,,,,,,,Potrero,96445994
,,,,,,,,,División del Norte,94176565
,,,,,,,,,Olímpica,92799965
,,,,,,,,,Juárez,91556143
,,,,,,,,,Patriotismo,91266322
,,,,,,,,,Villa de Cortés,90816263
,,,,,,,,,Guerrero,90684973
,,,,,,,,,Eugenia,89238442
,,,,,,,,,Terminal Aérea,85630825
,,,,,,,,,Periférico Oriente,83759286
,,,,,,,,,Deportivo Oceanía,82702770
,,,,,,,,,Lindavista,82458264
,,,,,,,,,Colegio Militar,78462835
,,,,,,,,,Aquiles Serdán,77236126
,,,,,,,,,Acatitla,76966935
,,,,,,,,,Camarones,74443749
,,,,,,,,,Villa de Aragón,72571155
,,,,,,,,,La Villa/Basílica,71911038
,,,,,,,,,San Antonio,70721475
,,,,,,,,,Obrera,70494701
,,,,,,,,,Apatlaco,69508345
,,,,,,,,,Panteones,67455805
,,,,,,,,,Peñón Viejo,67391595
,,,,,,,,,Canal de San Juan,66449250
,,,,,,,,,Morelos,66306859
,,,,,,,,,Balbuena,65829874
,,,,,,,,,Lázaro Cárdenas,64720538
,,,,,,,,,Cerro de la Estrella,62335991
,,,,,,,,,Doctores,62320297
,,,,,,,,,San Pedro de los Pinos,62036674
,,,,,,,,,Velódromo,56881081
,,,,,,,,,Agrícola Oriental,55479553
,,,,,,,,,Mexicaltzingo,54729660
,,,,,,,,,Juanacatlán,54577892
,,,,,,,,,Iztapalapa,54421839
,,,,,,,,,Refinería,53625236
,,,,,,,,,Tezonco,53284357
,,,,,,,,,Romero Rubio,52673869
,,,,,,,,,Popotla,50809127
,,,,,,,,,Aculco,50385512
,,,,,,,,,Nopalera,49836301
,,,,,,,,,Consulado,48082403
,,,,,,,,,Instituto del Petróleo,47811569
,,,,,,,,,Santa Anita,47377960
,,,,,,,,,Constituyentes,44365356
,,,,,,,,,Canal del Norte,43939575
,,,,,,,,,Fray Servando,42699899
,,,,,,,,,Misterios,42226855
,,,,,,,,,Olivos,41240688
,,,,,,,,,UAM-Azcapotzalco,40493976
,,,,,,,,,Ciudad Deportiva,39401767
,,,,,,,,,Culhuacán,38461631
,,,,,,,,,Hospital 20 de Noviembre,37969540
,,,,,,,,,Aragón,37828388
,,,,,,,,,Vallejo,37654091
,,,,,,,,,La Viga,36682382
,,,,,,,,,Calle 11,36466551
,,,,,,,,,Eduardo Molina,36214631
,,,,,,,,,Norte 45,35134553
,,,,,,,,,Parque de los Venados,34203005
,,,,,,,,,Eje Central,32649905
,,,,,,,,,Bondojito,32487181
,,,,,,,,,Ricardo Flores Magón,32363430
,,,,,,,,,Zapotitlán,32289272
,,,,,,,,,Bosque de Aragón,32074445
,,,,,,,,,Tezozómoc,28955747
,,,,,,,,,San Andrés Tomatlán,28131213
,,,,,,,,,Lomas Estrella,27926656
,,,,,,,,,Talismán,27645753
,,,,,,,,,Hangares,25737912
,,,,,,,,,Valle Gómez,22597938
,,,,,,,,,Tlaltenco,8017876